Unnamed: 0,status,founded_at,funding_rounds,funding_total_usd,milestones,relationships,lat,lng,isClosed,active_days,category_code_biotech,category_code_consulting,category_code_ecommerce,category_code_education,category_code_enterprise,category_code_games_video,category_code_hardware,category_code_mobile,category_code_network_hosting,category_code_other,category_code_public_relations,category_code_search,category_code_software,category_code_web,country_code_BRA,country_code_CAN,country_code_DEU,country_code_ESP,country_code_FRA,country_code_GBR,country_code_IND,country_code_IRL,country_code_ISR,country_code_NLD,country_code_USA,country_code_other
288,2,2011,5.0,125371133.0,2.0,4.0,39.0997265,-94.5785667,0,10220.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
289,1,2011,5.0,125371133.0,1.0,3.0,39.576406,-106.7234639,1,6935.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
291,1,1991,5.0,125371133.0,1.0,2.0,32.7766642,-96.7969879,1,6935.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
292,1,2008,5.0,125371133.0,1.0,1.0,40.8712101,-74.73405229999999,1,5475.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
300,1,2011,5.0,125371133.0,1.0,2.0,43.1189978,-124.408448,1,3650.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
303,2,2007,5.0,125371133.0,1.0,2.0,31.762653000000004,34.966931,0,4015.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0
304,1,2002,5.0,125371133.0,1.0,12.0,27.3364347,-82.5306527,1,3650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
311,1,2011,5.0,125371133.0,1.0,3.0,46.8138783,-71.2079809,1,9855.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
313,1,2008,5.0,125371133.0,1.0,2.0,33.7489954,-84.3879824,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
315,1,2002,5.0,125371133.0,1.0,4.0,51.0486151,-114.0708459,1,4745.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
316,1,2000,5.0,125371133.0,1.0,2.0,37.678074200000005,-97.2392359,1,4380.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
320,1,2002,5.0,125371133.0,1.0,3.0,42.9633599,-85.6680863,1,9125.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
324,1,2007,5.0,125371133.0,1.0,3.0,39.8868485,-105.762548,1,3650.0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
325,1,2008,5.0,125371133.0,3.0,1.0,41.6005448,-93.6091064,1,7300.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
328,1,2009,5.0,125371133.0,1.0,1.0,41.408969,-75.66241219999999,1,6570.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
329,1,2009,5.0,125371133.0,1.0,4.0,51.5073509,-0.1277583,1,5110.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0
330,1,2005,5.0,125371133.0,1.0,1.0,54.3520252,18.6466384,1,4380.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
331,1,2011,5.0,125371133.0,1.0,2.0,47.6062095,-122.33207079999998,1,6205.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
333,1,2004,5.0,125371133.0,1.0,3.0,49.4809302,8.4863599,1,5840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0
335,1,2008,5.0,125371133.0,1.0,4.0,37.3382082,-121.88632859999998,1,4745.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
341,1,2002,5.0,125371133.0,1.0,2.0,30.267153000000004,-97.7430608,1,4745.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
344,1,2007,5.0,125371133.0,1.0,2.0,35.6894875,139.69170640000002,1,14965.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
345,1,1999,5.0,125371133.0,1.0,1.0,32.715738,-117.1610838,1,3650.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
349,1,2010,5.0,125371133.0,2.0,11.0,32.7766642,-96.7969879,1,5110.0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
354,1,2009,5.0,125371133.0,1.0,4.0,47.6062095,-122.33207079999998,1,7665.0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
355,2,1930,5.0,125371133.0,2.0,59.0,24.8614622,67.00993879999999,0,8030.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
362,1,2000,5.0,125371133.0,1.0,1.0,48.863812,2.448451,1,5840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
373,1,2008,5.0,125371133.0,1.0,4.0,37.2358078,-121.9623751,1,5840.0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
376,1,2007,5.0,125371133.0,1.0,2.0,31.2303904,121.4737021,1,3650.0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
378,1,2003,5.0,125371133.0,1.0,1.0,35.164633,33.38315,1,4015.0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
